2015-12-13T20:27:03.322-0600 I JOURNAL  [initandlisten] journal dir=/data/db/journal
2015-12-13T20:27:03.360-0600 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-12-13T20:27:03.575-0600 I JOURNAL  [durability] Durability thread started
2015-12-13T20:27:03.575-0600 I JOURNAL  [journal writer] Journal writer thread started
2015-12-13T20:27:03.610-0600 I CONTROL  [initandlisten] MongoDB starting : pid=94556 port=27017 dbpath=/data/db 64-bit host=davids-Mac-mini.local
2015-12-13T20:27:03.611-0600 I CONTROL  [initandlisten] db version v3.0.7
2015-12-13T20:27:03.611-0600 I CONTROL  [initandlisten] git version: nogitversion
2015-12-13T20:27:03.611-0600 I CONTROL  [initandlisten] build info: Darwin elcapitanvm.local 15.0.0 Darwin Kernel Version 15.0.0: Wed Aug 26 16:57:32 PDT 2015; root:xnu-3247.1.106~1/RELEASE_X86_64 x86_64 BOOST_LIB_VERSION=1_49
2015-12-13T20:27:03.611-0600 I CONTROL  [initandlisten] allocator: system
2015-12-13T20:27:03.611-0600 I CONTROL  [initandlisten] options: {}
2015-12-13T20:27:05.401-0600 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-12-13T20:27:11.943-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58680 #1 (1 connection now open)
2015-12-13T20:27:11.943-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58681 #2 (2 connections now open)
2015-12-13T20:27:11.944-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58682 #3 (3 connections now open)
2015-12-13T20:27:11.944-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58683 #4 (4 connections now open)
2015-12-13T20:27:11.944-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58684 #5 (5 connections now open)
2015-12-13T20:27:12.078-0600 I INDEX    [conn4] build index on: multivision.users properties: { v: 1, unique: true, key: { username: 1 }, name: "username_1", ns: "multivision.users", background: true }
2015-12-13T20:27:12.078-0600 I INDEX    [conn4] build index done.  scanned 0 total records. 0 secs
2015-12-13T20:27:19.088-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58685 #6 (6 connections now open)
2015-12-13T20:40:52.047-0600 I NETWORK  [conn5] end connection 127.0.0.1:58684 (5 connections now open)
2015-12-13T20:40:52.047-0600 I NETWORK  [conn3] end connection 127.0.0.1:58682 (5 connections now open)
2015-12-13T20:40:52.047-0600 I NETWORK  [conn4] end connection 127.0.0.1:58683 (5 connections now open)
2015-12-13T20:40:52.047-0600 I NETWORK  [conn2] end connection 127.0.0.1:58681 (5 connections now open)
2015-12-13T20:40:52.047-0600 I NETWORK  [conn1] end connection 127.0.0.1:58680 (5 connections now open)
2015-12-13T20:40:55.816-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58802 #7 (2 connections now open)
2015-12-13T20:40:55.816-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58803 #8 (3 connections now open)
2015-12-13T20:40:55.816-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58804 #9 (4 connections now open)
2015-12-13T20:40:55.816-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58805 #10 (5 connections now open)
2015-12-13T20:40:55.817-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58806 #11 (6 connections now open)
2015-12-13T21:07:14.464-0600 I NETWORK  [conn11] end connection 127.0.0.1:58806 (5 connections now open)
2015-12-13T21:07:14.464-0600 I NETWORK  [conn10] end connection 127.0.0.1:58805 (5 connections now open)
2015-12-13T21:07:14.464-0600 I NETWORK  [conn9] end connection 127.0.0.1:58804 (5 connections now open)
2015-12-13T21:07:14.464-0600 I NETWORK  [conn7] end connection 127.0.0.1:58802 (5 connections now open)
2015-12-13T21:07:14.464-0600 I NETWORK  [conn8] end connection 127.0.0.1:58803 (5 connections now open)
2015-12-13T21:07:29.765-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59285 #12 (2 connections now open)
2015-12-13T21:07:29.795-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59286 #13 (3 connections now open)
2015-12-13T21:07:29.795-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59287 #14 (4 connections now open)
2015-12-13T21:07:29.795-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59288 #15 (5 connections now open)
2015-12-13T21:07:29.795-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59289 #16 (6 connections now open)
2015-12-13T21:07:49.360-0600 I NETWORK  [conn15] end connection 127.0.0.1:59288 (5 connections now open)
2015-12-13T21:07:49.360-0600 I NETWORK  [conn16] end connection 127.0.0.1:59289 (5 connections now open)
2015-12-13T21:07:49.360-0600 I NETWORK  [conn14] end connection 127.0.0.1:59287 (5 connections now open)
2015-12-13T21:07:49.360-0600 I NETWORK  [conn13] end connection 127.0.0.1:59286 (5 connections now open)
2015-12-13T21:07:49.360-0600 I NETWORK  [conn12] end connection 127.0.0.1:59285 (5 connections now open)
2015-12-13T21:07:53.522-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59295 #17 (2 connections now open)
2015-12-13T21:07:53.523-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59296 #18 (3 connections now open)
2015-12-13T21:07:53.523-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59297 #19 (4 connections now open)
2015-12-13T21:07:53.523-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59298 #20 (5 connections now open)
2015-12-13T21:07:53.523-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59299 #21 (6 connections now open)
2015-12-13T21:08:07.638-0600 I NETWORK  [conn20] end connection 127.0.0.1:59298 (5 connections now open)
2015-12-13T21:08:07.638-0600 I NETWORK  [conn21] end connection 127.0.0.1:59299 (5 connections now open)
2015-12-13T21:08:07.638-0600 I NETWORK  [conn19] end connection 127.0.0.1:59297 (5 connections now open)
2015-12-13T21:08:07.638-0600 I NETWORK  [conn18] end connection 127.0.0.1:59296 (5 connections now open)
2015-12-13T21:08:07.638-0600 I NETWORK  [conn17] end connection 127.0.0.1:59295 (5 connections now open)
2015-12-13T21:08:11.759-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59303 #22 (2 connections now open)
2015-12-13T21:08:11.759-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59304 #23 (3 connections now open)
2015-12-13T21:08:11.759-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59305 #24 (4 connections now open)
2015-12-13T21:08:11.759-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59306 #25 (5 connections now open)
2015-12-13T21:08:11.760-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59307 #26 (6 connections now open)
2015-12-13T21:08:23.184-0600 I NETWORK  [conn26] end connection 127.0.0.1:59307 (5 connections now open)
2015-12-13T21:08:23.184-0600 I NETWORK  [conn25] end connection 127.0.0.1:59306 (5 connections now open)
2015-12-13T21:08:23.184-0600 I NETWORK  [conn23] end connection 127.0.0.1:59304 (5 connections now open)
2015-12-13T21:08:23.184-0600 I NETWORK  [conn24] end connection 127.0.0.1:59305 (5 connections now open)
2015-12-13T21:08:23.184-0600 I NETWORK  [conn22] end connection 127.0.0.1:59303 (5 connections now open)
2015-12-13T21:08:26.790-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59308 #27 (2 connections now open)
2015-12-13T21:08:26.790-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59309 #28 (3 connections now open)
2015-12-13T21:08:26.790-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59310 #29 (4 connections now open)
2015-12-13T21:08:26.790-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59311 #30 (5 connections now open)
2015-12-13T21:08:26.790-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59312 #31 (6 connections now open)
2015-12-13T21:08:51.540-0600 I NETWORK  [conn30] end connection 127.0.0.1:59311 (5 connections now open)
2015-12-13T21:08:51.540-0600 I NETWORK  [conn31] end connection 127.0.0.1:59312 (5 connections now open)
2015-12-13T21:08:51.540-0600 I NETWORK  [conn29] end connection 127.0.0.1:59310 (5 connections now open)
2015-12-13T21:08:51.540-0600 I NETWORK  [conn28] end connection 127.0.0.1:59309 (5 connections now open)
2015-12-13T21:08:51.540-0600 I NETWORK  [conn27] end connection 127.0.0.1:59308 (5 connections now open)
2015-12-13T21:08:55.568-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59313 #32 (2 connections now open)
2015-12-13T21:08:55.569-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59314 #33 (3 connections now open)
2015-12-13T21:08:55.569-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59315 #34 (4 connections now open)
2015-12-13T21:08:55.569-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59316 #35 (5 connections now open)
2015-12-13T21:08:55.569-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59317 #36 (6 connections now open)
2015-12-13T21:25:06.356-0600 I NETWORK  [conn35] end connection 127.0.0.1:59316 (5 connections now open)
2015-12-13T21:25:06.356-0600 I NETWORK  [conn36] end connection 127.0.0.1:59317 (5 connections now open)
2015-12-13T21:25:06.356-0600 I NETWORK  [conn34] end connection 127.0.0.1:59315 (5 connections now open)
2015-12-13T21:25:06.356-0600 I NETWORK  [conn33] end connection 127.0.0.1:59314 (5 connections now open)
2015-12-13T21:25:06.356-0600 I NETWORK  [conn32] end connection 127.0.0.1:59313 (5 connections now open)
2015-12-13T21:25:12.111-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59391 #37 (2 connections now open)
2015-12-13T21:25:12.136-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59392 #38 (3 connections now open)
2015-12-13T21:25:12.136-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59393 #39 (4 connections now open)
2015-12-13T21:25:12.136-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59394 #40 (5 connections now open)
2015-12-13T21:25:12.136-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59395 #41 (6 connections now open)
2015-12-13T21:25:16.439-0600 I NETWORK  [conn41] end connection 127.0.0.1:59395 (5 connections now open)
2015-12-13T21:25:16.439-0600 I NETWORK  [conn40] end connection 127.0.0.1:59394 (5 connections now open)
2015-12-13T21:25:16.439-0600 I NETWORK  [conn39] end connection 127.0.0.1:59393 (5 connections now open)
2015-12-13T21:25:16.439-0600 I NETWORK  [conn38] end connection 127.0.0.1:59392 (4 connections now open)
2015-12-13T21:25:16.439-0600 I NETWORK  [conn37] end connection 127.0.0.1:59391 (4 connections now open)
2015-12-13T21:25:19.356-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59397 #42 (2 connections now open)
2015-12-13T21:25:19.381-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59398 #43 (3 connections now open)
2015-12-13T21:25:19.381-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59399 #44 (4 connections now open)
2015-12-13T21:25:19.381-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59400 #45 (5 connections now open)
2015-12-13T21:25:19.381-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59401 #46 (6 connections now open)
2015-12-13T21:25:59.736-0600 I NETWORK  [conn46] end connection 127.0.0.1:59401 (5 connections now open)
2015-12-13T21:25:59.737-0600 I NETWORK  [conn44] end connection 127.0.0.1:59399 (5 connections now open)
2015-12-13T21:25:59.737-0600 I NETWORK  [conn45] end connection 127.0.0.1:59400 (5 connections now open)
2015-12-13T21:25:59.737-0600 I NETWORK  [conn43] end connection 127.0.0.1:59398 (5 connections now open)
2015-12-13T21:25:59.737-0600 I NETWORK  [conn42] end connection 127.0.0.1:59397 (5 connections now open)
2015-12-13T21:26:04.836-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59404 #47 (2 connections now open)
2015-12-13T21:26:04.836-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59405 #48 (3 connections now open)
2015-12-13T21:26:04.836-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59406 #49 (4 connections now open)
2015-12-13T21:26:04.836-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59407 #50 (5 connections now open)
2015-12-13T21:26:04.836-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59408 #51 (6 connections now open)
2015-12-13T21:27:42.981-0600 I NETWORK  [conn51] end connection 127.0.0.1:59408 (5 connections now open)
2015-12-13T21:27:42.981-0600 I NETWORK  [conn49] end connection 127.0.0.1:59406 (5 connections now open)
2015-12-13T21:27:42.981-0600 I NETWORK  [conn48] end connection 127.0.0.1:59405 (5 connections now open)
2015-12-13T21:27:42.981-0600 I NETWORK  [conn47] end connection 127.0.0.1:59404 (5 connections now open)
2015-12-13T21:27:42.982-0600 I NETWORK  [conn50] end connection 127.0.0.1:59407 (5 connections now open)
2015-12-13T21:27:46.851-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59417 #52 (2 connections now open)
2015-12-13T21:27:46.852-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59418 #53 (3 connections now open)
2015-12-13T21:27:46.852-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59419 #54 (4 connections now open)
2015-12-13T21:27:46.852-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59420 #55 (5 connections now open)
2015-12-13T21:27:46.852-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59421 #56 (6 connections now open)
2015-12-13T21:28:49.262-0600 I NETWORK  [conn55] end connection 127.0.0.1:59420 (5 connections now open)
2015-12-13T21:28:49.263-0600 I NETWORK  [conn53] end connection 127.0.0.1:59418 (5 connections now open)
2015-12-13T21:28:49.263-0600 I NETWORK  [conn54] end connection 127.0.0.1:59419 (5 connections now open)
2015-12-13T21:28:49.263-0600 I NETWORK  [conn56] end connection 127.0.0.1:59421 (5 connections now open)
2015-12-13T21:28:49.263-0600 I NETWORK  [conn52] end connection 127.0.0.1:59417 (5 connections now open)
2015-12-13T21:28:53.055-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59432 #57 (2 connections now open)
2015-12-13T21:28:53.055-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59433 #58 (3 connections now open)
2015-12-13T21:28:53.055-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59434 #59 (4 connections now open)
2015-12-13T21:28:53.058-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59435 #60 (5 connections now open)
2015-12-13T21:28:53.061-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59436 #61 (6 connections now open)
2015-12-13T21:29:20.884-0600 I QUERY    [conn60] query multivision.users query: { username: "DCole" } planSummary: IXSCAN { username: 1 } ntoskip:0 nscanned:1 nscannedObjects:1 keyUpdates:0 writeConflicts:0 numYields:0 nreturned:1 reslen:376 locks:{ Global: { acquireCount: { r: 2 } }, MMAPV1Journal: { acquireCount: { r: 1 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { R: 1 } } } 116ms
2015-12-13T21:30:43.179-0600 I NETWORK  [conn61] end connection 127.0.0.1:59436 (5 connections now open)
2015-12-13T21:30:43.180-0600 I NETWORK  [conn60] end connection 127.0.0.1:59435 (5 connections now open)
2015-12-13T21:30:43.180-0600 I NETWORK  [conn59] end connection 127.0.0.1:59434 (5 connections now open)
2015-12-13T21:30:43.180-0600 I NETWORK  [conn58] end connection 127.0.0.1:59433 (5 connections now open)
2015-12-13T21:30:43.180-0600 I NETWORK  [conn57] end connection 127.0.0.1:59432 (5 connections now open)
2015-12-13T21:30:48.328-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59473 #62 (2 connections now open)
2015-12-13T21:30:48.337-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59474 #63 (3 connections now open)
2015-12-13T21:30:48.337-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59475 #64 (4 connections now open)
2015-12-13T21:30:48.338-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59476 #65 (5 connections now open)
2015-12-13T21:30:48.338-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59477 #66 (6 connections now open)
2015-12-13T21:30:53.218-0600 I NETWORK  [conn65] end connection 127.0.0.1:59476 (5 connections now open)
2015-12-13T21:30:53.218-0600 I NETWORK  [conn66] end connection 127.0.0.1:59477 (5 connections now open)
2015-12-13T21:30:53.218-0600 I NETWORK  [conn64] end connection 127.0.0.1:59475 (5 connections now open)
2015-12-13T21:30:53.218-0600 I NETWORK  [conn63] end connection 127.0.0.1:59474 (5 connections now open)
2015-12-13T21:30:53.218-0600 I NETWORK  [conn62] end connection 127.0.0.1:59473 (4 connections now open)
2015-12-13T21:30:58.764-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59478 #67 (2 connections now open)
2015-12-13T21:30:58.786-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59479 #68 (3 connections now open)
2015-12-13T21:30:58.786-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59480 #69 (4 connections now open)
2015-12-13T21:30:58.786-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59481 #70 (5 connections now open)
2015-12-13T21:30:58.786-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59482 #71 (6 connections now open)
2015-12-13T21:32:02.958-0600 I NETWORK  [conn71] end connection 127.0.0.1:59482 (5 connections now open)
2015-12-13T21:32:02.958-0600 I NETWORK  [conn70] end connection 127.0.0.1:59481 (5 connections now open)
2015-12-13T21:32:02.958-0600 I NETWORK  [conn69] end connection 127.0.0.1:59480 (5 connections now open)
2015-12-13T21:32:02.958-0600 I NETWORK  [conn68] end connection 127.0.0.1:59479 (5 connections now open)
2015-12-13T21:32:02.958-0600 I NETWORK  [conn67] end connection 127.0.0.1:59478 (5 connections now open)
2015-12-13T21:32:07.695-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59493 #72 (2 connections now open)
2015-12-13T21:32:07.695-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59494 #73 (3 connections now open)
2015-12-13T21:32:07.695-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59495 #74 (4 connections now open)
2015-12-13T21:32:07.696-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59496 #75 (5 connections now open)
2015-12-13T21:32:07.697-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59497 #76 (6 connections now open)
2015-12-13T21:32:08.456-0600 I NETWORK  [conn76] end connection 127.0.0.1:59497 (5 connections now open)
2015-12-13T21:32:08.456-0600 I NETWORK  [conn75] end connection 127.0.0.1:59496 (5 connections now open)
2015-12-13T21:32:08.456-0600 I NETWORK  [conn73] end connection 127.0.0.1:59494 (5 connections now open)
2015-12-13T21:32:08.456-0600 I NETWORK  [conn74] end connection 127.0.0.1:59495 (5 connections now open)
2015-12-13T21:32:08.456-0600 I NETWORK  [conn72] end connection 127.0.0.1:59493 (5 connections now open)
2015-12-13T21:32:09.331-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59498 #77 (2 connections now open)
2015-12-13T21:32:09.342-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59499 #78 (3 connections now open)
2015-12-13T21:32:09.342-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59500 #79 (4 connections now open)
2015-12-13T21:32:09.342-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59501 #80 (5 connections now open)
2015-12-13T21:32:09.342-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59502 #81 (6 connections now open)
2015-12-13T21:33:59.391-0600 I NETWORK  [conn79] end connection 127.0.0.1:59500 (5 connections now open)
2015-12-13T21:33:59.391-0600 I NETWORK  [conn80] end connection 127.0.0.1:59501 (5 connections now open)
2015-12-13T21:33:59.391-0600 I NETWORK  [conn81] end connection 127.0.0.1:59502 (5 connections now open)
2015-12-13T21:33:59.391-0600 I NETWORK  [conn78] end connection 127.0.0.1:59499 (5 connections now open)
2015-12-13T21:33:59.391-0600 I NETWORK  [conn77] end connection 127.0.0.1:59498 (5 connections now open)
2015-12-13T21:34:03.605-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59533 #82 (2 connections now open)
2015-12-13T21:34:03.605-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59534 #83 (3 connections now open)
2015-12-13T21:34:03.613-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59535 #84 (4 connections now open)
2015-12-13T21:34:03.614-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59536 #85 (5 connections now open)
2015-12-13T21:34:03.614-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59537 #86 (6 connections now open)
